show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,language,imdb_score,views_millions
s51,TV Show,Crash Landing on You,Director_213,"Actor_227, Actor_295",Canada,2022-11-13,2022,TV-MA,4 Seasons,Fantasy,French,6.2,11.83
s52,TV Show,Lupin Part 2,Director_178,"Actor_325, Actor_424, Actor_49, Actor_388, Actor_65",Brazil,2022-07-09,2022,TV-MA,6 Seasons,Documentary,French,4.3,1.63
s53,TV Show,Call My Agent,Director_46,"Actor_415, Actor_50, Actor_73, Actor_164, Actor_314",France,2023-08-24,2023,R,5 Seasons,Documentary,Spanish,6.1,5.78
s54,TV Show,The Bureau,Director_37,"Actor_69, Actor_382, Actor_154, Actor_1",Australia,2019-01-11,2019,TV-MA,7 Seasons,Fantasy,English,6.6,0.23
s55,Movie,Marseille,Director_27,"Actor_62, Actor_269, Actor_294, Actor_93",United Kingdom,2016-06-26,2016,TV-14,107 min,Documentary,Portuguese,7.1,3.73
s56,TV Show,Plan Coeur,Director_256,"Actor_39, Actor_44",United States,2019-10-18,2019,TV-MA,4 Seasons,Action,German,8.2,2.35
s57,Movie,Mortel,Director_139,"Actor_46, Actor_69, Actor_385, Actor_492",United States,2020-09-26,2020,PG-13,78 min,Drama,Korean,7.3,0.22
s58,TV Show,Laetitia,Director_286,"Actor_79, Actor_158, Actor_341, Actor_203",Mexico,2018-09-20,2018,TV-MA,7 Seasons,Comedy,English,6.3,4.02
s59,TV Show,Into the Night,Director_150,"Actor_104, Actor_435, Actor_236, Actor_476, Actor_61",India,2018-09-01,2018,TV-14,3 Seasons,Romance,Korean,7.3,1.25
s60,TV Show,Dix Pour Cent,Director_64,"Actor_242, Actor_92",Japan,2021-12-25,2021,NR,6 Seasons,Horror,Norwegian,5.1,1.76
s61,TV Show,Barbarians,Director_157,"Actor_214, Actor_160",Germany,2018-06-03,2018,R,6 Seasons,Crime,English,6.5,2.02
s62,Movie,How to Sell Drugs Online,Director_130,"Actor_486, Actor_233, Actor_53",Germany,2017-04-09,2017,G,90 min,Romance,English,5.1,0.08
s63,TV Show,Biohackers,Director_24,"Actor_45, Actor_39",India,2016-09-11,2016,R,3 Seasons,Thriller,English,7.3,0.26
s64,TV Show,Dark Desire,Director_133,"Actor_66, Actor_371, Actor_115, Actor_337, Actor_393",United States,2017-12-20,2017,TV-MA,1 Season,Reality,English,6.6,2.4
s65,TV Show,Who Killed Sara,Director_246,"Actor_286, Actor_376",South Korea,2015-01-01,2015,TV-MA,7 Seasons,Drama,French,7.3,23.29
s66,TV Show,Control Z,Director_74,"Actor_7, Actor_96, Actor_79, Actor_371",Mexico,2021-06-21,2021,TV-MA,4 Seasons,Reality,Spanish,4.2,0.25
s67,TV Show,Club de Cuervos,Director_52,"Actor_10, Actor_461",Mexico,2017-02-15,2017,TV-MA,1 Season,Thriller,English,6.5,2.83
s68,TV Show,Selena: The Series,Director_266,"Actor_443, Actor_149, Actor_324, Actor_136",United States,2019-09-21,2019,TV-14,5 Seasons,Romance,English,7.0,0.34
s69,TV Show,The House of Flowers,Director_1,"Actor_69, Actor_270, Actor_422",Turkey,2023-03-12,2023,R,3 Seasons,Thriller,Spanish,6.4,42.52
s70,Movie,Monarca,Director_147,"Actor_387, Actor_226",Spain,2023-05-26,2023,NR,109 min,Thriller,German,5.8,10.19
s71,Movie,Holy Family,Director_172,"Actor_104, Actor_76, Actor_287, Actor_131",South Korea,2019-05-09,2019,TV-MA,61 min,Documentary,French,6.8,3.82
s72,TV Show,Toy Boy,Director_277,"Actor_434, Actor_218, Actor_411, Actor_351",India,2023-08-16,2023,TV-14,3 Seasons,Thriller,French,7.7,58.53
s73,TV Show,White Lines,Director_51,"Actor_28, Actor_426, Actor_363, Actor_66, Actor_213",Turkey,2022-08-10,2022,TV-MA,3 Seasons,Reality,English,7.7,0.04
s74,TV Show,Cable Girls,Director_186,"Actor_39, Actor_99, Actor_183, Actor_421",United States,2019-08-03,2019,NR,7 Seasons,Animation,English,7.6,1.31
s75,TV Show,Alta Mar,Director_295,"Actor_344, Actor_420, Actor_304, Actor_176",Japan,2022-08-21,2022,TV-14,4 Seasons,Horror,Spanish,6.1,0.45
s76,Movie,Valeria,Director_153,"Actor_15, Actor_134, Actor_236, Actor_146",Spain,2019-05-07,2019,TV-MA,88 min,Sci-Fi,English,8.4,0.15
s77,TV Show,La Casa de las Flores,Director_72,"Actor_278, Actor_218, Actor_130",Spain,2019-08-21,2019,R,7 Seasons,Reality,Spanish,7.9,1.54
s78,TV Show,Suburra,Director_243,"Actor_249, Actor_38, Actor_194, Actor_223, Actor_175",United Kingdom,2021-01-07,2021,PG-13,2 Seasons,Sci-Fi,Hindi,7.3,0.77
s79,TV Show,Baby,Director_269,"Actor_127, Actor_350, Actor_125, Actor_149",United Kingdom,2019-09-05,2019,G,2 Seasons,Comedy,English,6.1,3.6
s80,TV Show,Zero,Director_202,"Actor_451, Actor_419, Actor_111, Actor_290, Actor_136",Canada,2023-11-15,2023,TV-MA,1 Season,Thriller,Japanese,8.4,1.87
s81,TV Show,Luna Nera,Director_100,"Actor_192, Actor_407, Actor_276, Actor_367",United States,2018-12-25,2018,PG,5 Seasons,Animation,Korean,8.2,0.7
s82,Movie,Summertime,Director_59,"Actor_421, Actor_292",Canada,2022-03-07,2022,G,102 min,Fantasy,Portuguese,7.3,1.15
s83,TV Show,Club de Cuervos S2,Director_129,"Actor_179, Actor_303, Actor_432",South Korea,2020-07-09,2020,PG,3 Seasons,Documentary,Norwegian,7.0,0.41
s84,TV Show,The Protector,Director_75,"Actor_489, Actor_2, Actor_478",Mexico,2022-08-22,2022,NR,6 Seasons,Romance,French,7.6,10.7
s85,TV Show,Atiye,Director_161,"Actor_110, Actor_231, Actor_13",Brazil,2023-11-06,2023,TV-MA,1 Season,Animation,Spanish,6.4,0.15
s86,Movie,Fatma,Director_128,"Actor_356, Actor_62, Actor_44",Spain,2021-07-10,2021,PG-13,94 min,Drama,Korean,8.1,3.88
s87,TV Show,Ethos,Director_109,"Actor_263, Actor_101",Canada,2022-08-13,2022,PG-13,2 Seasons,Comedy,Norwegian,6.3,2.41
s88,Movie,Sisi,Director_295,"Actor_388, Actor_161",United States,2020-08-03,2020,NR,150 min,Animation,Korean,5.1,9.4
s89,TV Show,Barbarians S2,Director_61,"Actor_438, Actor_189",Japan,2020-03-28,2020,PG-13,1 Season,Action,Korean,4.9,2.33
s90,TV Show,Quicksand,Director_45,"Actor_91, Actor_447, Actor_244",Spain,2020-05-18,2020,PG,7 Seasons,Drama,Portuguese,8.9,2.28
s91,TV Show,Lilyhammer,Director_199,"Actor_471, Actor_23, Actor_68, Actor_354",United States,2021-09-08,2021,TV-MA,4 Seasons,Documentary,English,6.5,1.28
s92,TV Show,Norsemen,Director_145,"Actor_273, Actor_328, Actor_370, Actor_227",South Korea,2018-03-01,2018,TV-MA,4 Seasons,Sci-Fi,Japanese,5.1,3.73
s93,Movie,Home for Christmas,Director_8,"Actor_287, Actor_20, Actor_401",Brazil,2021-04-11,2021,TV-14,178 min,Action,English,6.0,2.95
s94,TV Show,Ragnarok,Director_228,"Actor_196, Actor_342, Actor_343",Mexico,2022-01-04,2022,TV-MA,7 Seasons,Reality,Norwegian,6.0,10.86
s95,TV Show,Beforeigners,Director_115,"Actor_14, Actor_276, Actor_54",Norway,2021-02-26,2021,R,7 Seasons,Comedy,Spanish,5.5,1.91
s96,Movie,Stranger Things (1),Director_46,"Actor_163, Actor_44, Actor_20",France,2021-07-26,2021,TV-MA,143 min,Romance,Korean,5.7,0.52
s97,Movie,Ozark (1),Director_279,"Actor_342, Actor_17, Actor_140, Actor_476, Actor_15",France,2019-03-27,2019,TV-MA,128 min,Drama,Portuguese,6.4,0.45
s98,TV Show,The Crown (1),Director_293,"Actor_54, Actor_470, Actor_306, Actor_417",United States,2023-10-26,2023,R,6 Seasons,Reality,German,7.0,19.55
s99,Movie,Bridgerton (1),Director_256,"Actor_275, Actor_11, Actor_424, Actor_410",France,2016-02-19,2016,TV-MA,152 min,Romance,English,7.3,10.26
s100,Movie,Squid Game (1),Director_155,"Actor_391, Actor_496, Actor_316, Actor_443",United States,2015-10-22,2015,PG,60 min,Thriller,Korean,5.4,3.02
s101,Movie,Money Heist (1),Director_6,"Actor_435, Actor_137, Actor_275, Actor_375",South Korea,2020-08-06,2020,R,126 min,Action,German,8.3,3.88
s102,Movie,Dark (1),Director_7,"Actor_461, Actor_387, Actor_191, Actor_73",United States,2022-09-19,2022,TV-14,106 min,Documentary,Japanese,7.9,13.71
s103,TV Show,Lupin (1),Director_1,"Actor_413, Actor_263",United States,2023-03-01,2023,G,4 Seasons,Action,German,7.2,2.25
s104,TV Show,Emily in Paris (1),Director_284,"Actor_426, Actor_73, Actor_72, Actor_103, Actor_33",United States,2018-09-14,2018,TV-14,1 Season,Documentary,English,7.0,6.08
s105,Movie,Narcos (1),Director_172,"Actor_73, Actor_180, Actor_175, Actor_19, Actor_253",South Korea,2016-09-23,2016,TV-14,111 min,Animation,English,5.9,15.15
s106,Movie,Mindhunter (1),Director_162,"Actor_78, Actor_348, Actor_447, Actor_147",India,2020-07-14,2020,PG-13,108 min,Thriller,German,7.0,1.7
s107,TV Show,Witcher (1),Director_11,"Actor_472, Actor_470, Actor_316",United States,2019-01-27,2019,R,4 Seasons,Comedy,Spanish,6.6,0.52
s108,Movie,Cobra Kai (1),Director_260,"Actor_148, Actor_247, Actor_389, Actor_160",South Korea,2020-06-18,2020,TV-MA,111 min,Thriller,English,6.9,2.88
s109,Movie,Sex Education (1),Director_155,"Actor_226, Actor_428, Actor_297, Actor_322",Turkey,2020-07-23,2020,R,78 min,Fantasy,English,9.4,0.06
s110,Movie,You (1),Director_131,"Actor_191, Actor_432, Actor_50, Actor_496",United States,2021-09-05,2021,PG-13,72 min,Action,English,7.0,22.69
s111,Movie,Tiger King (1),Director_47,"Actor_418, Actor_195, Actor_208",United Kingdom,2021-01-22,2021,NR,109 min,Romance,Korean,8.5,0.96
s112,Movie,Making a Murderer (1),Director_79,"Actor_282, Actor_114, Actor_300, Actor_144, Actor_290",India,2021-04-12,2021,TV-14,121 min,Animation,English,5.9,0.58
s113,TV Show,Conversations with a Killer (1),Director_183,"Actor_310, Actor_86, Actor_91, Actor_222, Actor_237",United States,2023-09-14,2023,NR,7 Seasons,Comedy,English,4.5,4.57
s114,TV Show,Our Planet (1),Director_118,"Actor_476, Actor_480, Actor_382, Actor_27",Norway,2023-06-01,2023,TV-MA,6 Seasons,Thriller,Spanish,4.0,7.01
s115,Movie,Blue Planet II (1),Director_82,"Actor_236, Actor_84, Actor_4, Actor_111, Actor_153",South Korea,2021-03-02,2021,R,110 min,Animation,Turkish,6.7,6.55
s116,TV Show,Abstract (1),Director_88,"Actor_201, Actor_14, Actor_191, Actor_211, Actor_95",United States,2023-03-10,2023,PG,6 Seasons,Thriller,Turkish,7.9,2.81
s117,TV Show,Chef's Table (1),Director_15,"Actor_188, Actor_9, Actor_201, Actor_496",United States,2017-10-27,2017,TV-MA,1 Season,Fantasy,Norwegian,7.5,0.31
s118,Movie,Formula 1: Drive to Survive (1),Director_123,"Actor_71, Actor_34, Actor_345, Actor_120, Actor_384",United Kingdom,2023-03-22,2023,TV-14,100 min,Crime,Spanish,4.6,0.07
s119,Movie,Last Chance U (1),Director_105,"Actor_15, Actor_90",Norway,2022-01-02,2022,TV-MA,133 min,Romance,Japanese,5.8,1.37
s120,Movie,American Factory (1),Director_64,"Actor_176, Actor_307, Actor_102, Actor_351, Actor_127",Norway,2019-10-18,2019,TV-14,103 min,Thriller,English,5.9,0.85
s121,Movie,Icarus (1),Director_234,"Actor_334, Actor_4, Actor_5, Actor_194, Actor_64",United States,2021-07-26,2021,TV-14,147 min,Drama,Spanish,7.0,4.71
s122,Movie,My Octopus Teacher (1),Director_25,"Actor_17, Actor_236, Actor_331",Brazil,2019-10-01,2019,TV-MA,77 min,Drama,German,6.8,2.73
s123,TV Show,The Tinder Swindler (1),Director_81,"Actor_459, Actor_47",United States,2019-11-19,2019,TV-MA,2 Seasons,Animation,Korean,5.9,0.23
s124,Movie,Bird Box (1),Director_69,"Actor_363, Actor_14, Actor_324, Actor_53, Actor_208",United Kingdom,2022-07-08,2022,TV-14,131 min,Animation,French,8.9,0.36
s125,Movie,Extraction (1),Director_130,"Actor_394, Actor_398, Actor_249, Actor_152, Actor_490",United States,2020-07-25,2020,R,98 min,Fantasy,German,6.0,1.34
s126,TV Show,Red Notice (1),Director_268,"Actor_391, Actor_270, Actor_69, Actor_197",United Kingdom,2021-12-13,2021,NR,6 Seasons,Crime,Hindi,7.5,1.31
s127,TV Show,The Gray Man (1),Director_6,"Actor_244, Actor_402",United States,2022-05-20,2022,TV-14,2 Seasons,Fantasy,Norwegian,8.9,2.17
s128,Movie,Don't Look Up (1),Director_255,"Actor_134, Actor_123, Actor_396, Actor_194, Actor_217",United Kingdom,2022-09-25,2022,TV-14,114 min,Comedy,Portuguese,4.8,0.74
s129,Movie,The Irishman (1),Director_296,"Actor_286, Actor_420, Actor_462",United Kingdom,2019-02-25,2019,TV-MA,132 min,Sci-Fi,Korean,9.0,0.14
s130,TV Show,Marriage Story (1),Director_6,"Actor_365, Actor_465, Actor_262, Actor_280, Actor_489",Canada,2015-08-10,2015,TV-14,2 Seasons,Romance,Norwegian,6.7,0.26
s131,Movie,Roma (1),Director_287,"Actor_134, Actor_45, Actor_2",South Korea,2020-04-09,2020,TV-14,140 min,Comedy,Korean,5.4,4.04
s132,TV Show,Mank (1),Director_283,"Actor_454, Actor_262, Actor_300, Actor_244, Actor_40",United States,2017-10-11,2017,TV-MA,6 Seasons,Crime,Korean,9.0,0.15
s133,Movie,Power (1),Director_41,"Actor_10, Actor_163, Actor_9",United States,2022-02-28,2022,TV-MA,137 min,Romance,German,6.7,0.3
s134,Movie,Narcos: Mexico (1),Director_293,"Actor_85, Actor_457, Actor_371",Australia,2018-09-21,2018,R,122 min,Action,Korean,5.1,3.2
s135,Movie,Ozark (1),Director_49,"Actor_144, Actor_40",Turkey,2017-06-17,2017,TV-14,149 min,Fantasy,Spanish,5.3,9.34
s136,Movie,Elite (1),Director_164,"Actor_130, Actor_252, Actor_94, Actor_302",South Korea,2023-02-22,2023,PG-13,121 min,Sci-Fi,German,5.5,0.24
s137,TV Show,Money Heist: Korea (1),Director_283,"Actor_227, Actor_31, Actor_29",United States,2017-09-09,2017,TV-14,3 Seasons,Reality,Japanese,5.6,0.64
s138,Movie,All of Us Are Dead (1),Director_257,"Actor_223, Actor_86, Actor_456, Actor_381, Actor_112",United States,2020-03-25,2020,TV-14,110 min,Action,Hindi,8.6,2.65
s139,TV Show,Hellbound (1),Director_81,"Actor_236, Actor_234, Actor_176",Japan,2021-11-18,2021,R,4 Seasons,Animation,English,6.1,2.68
s140,TV Show,Kingdom (1),Director_171,"Actor_438, Actor_485",United States,2020-06-28,2020,TV-MA,2 Seasons,Documentary,English,6.4,4.33
s141,TV Show,Sweet Home (1),Director_157,"Actor_55, Actor_420, Actor_145, Actor_460",Japan,2020-02-02,2020,TV-14,4 Seasons,Comedy,English,6.5,4.39
s142,TV Show,Hospital Playlist (1),Director_231,"Actor_199, Actor_167, Actor_73",Germany,2023-10-15,2023,TV-14,2 Seasons,Documentary,Korean,7.0,0.35
s143,TV Show,Reply 1988 (1),Director_272,"Actor_130, Actor_162",Turkey,2023-12-14,2023,TV-14,2 Seasons,Documentary,Spanish,8.2,3.65
s144,Movie,Signal (1),Director_128,"Actor_367, Actor_269",United Kingdom,2021-11-03,2021,TV-14,66 min,Comedy,English,7.4,1.86
s145,TV Show,My Mister (1),Director_243,"Actor_261, Actor_9, Actor_447, Actor_58, Actor_454",Spain,2021-12-17,2021,PG-13,6 Seasons,Romance,English,6.4,3.8
s146,Movie,Crash Landing on You (1),Director_80,"Actor_254, Actor_183, Actor_476, Actor_446",United States,2023-06-10,2023,R,91 min,Horror,English,7.7,8.31
s147,Movie,Lupin Part 2 (1),Director_45,"Actor_156, Actor_37, Actor_382, Actor_21, Actor_45",Germany,2019-07-25,2019,R,80 min,Horror,Spanish,6.6,1.52
s148,Movie,Call My Agent (1),Director_106,"Actor_400, Actor_288, Actor_335, Actor_122, Actor_279",France,2021-01-21,2021,TV-MA,81 min,Drama,English,5.6,3.64
s149,TV Show,The Bureau (1),Director_196,"Actor_132, Actor_220",United States,2023-05-03,2023,R,3 Seasons,Horror,Spanish,7.6,3.25
s150,TV Show,Marseille (1),Director_228,"Actor_267, Actor_104, Actor_443, Actor_133, Actor_79",United States,2020-11-15,2020,R,4 Seasons,Crime,French,6.3,6.61
s151,Movie,Plan Coeur (1),Director_8,"Actor_477, Actor_446, Actor_21, Actor_7, Actor_472",Mexico,2015-09-15,2015,TV-MA,98 min,Thriller,Italian,7.1,3.23
s152,TV Show,Mortel (1),Director_188,"Actor_53, Actor_35, Actor_341, Actor_201",Italy,2020-02-05,2020,NR,4 Seasons,Comedy,English,3.9,0.29
s153,Movie,Laetitia (1),Director_251,"Actor_124, Actor_296, Actor_424, Actor_411",United States,2016-10-03,2016,R,89 min,Animation,Turkish,8.6,0.5
s154,Movie,Into the Night (1),Director_268,"Actor_450, Actor_253, Actor_397, Actor_128, Actor_499",Spain,2022-05-13,2022,G,86 min,Romance,English,8.0,1.21
s155,Movie,Dix Pour Cent (1),Director_192,"Actor_334, Actor_126, Actor_254, Actor_406, Actor_274",United States,2018-12-13,2018,TV-MA,60 min,Fantasy,Hindi,6.7,0.27
s156,Movie,Barbarians (1),Director_24,"Actor_443, Actor_210, Actor_444, Actor_367, Actor_208",United States,2019-09-28,2019,TV-14,89 min,Animation,Korean,8.0,0.94
s157,TV Show,How to Sell Drugs Online (1),Director_51,"Actor_473, Actor_26, Actor_482, Actor_362, Actor_417",United States,2021-06-11,2021,TV-MA,2 Seasons,Romance,Spanish,6.8,0.23
s158,Movie,Biohackers (1),Director_228,"Actor_469, Actor_205, Actor_70, Actor_95",United States,2022-01-10,2022,TV-MA,80 min,Action,Spanish,8.0,0.15
s159,Movie,Dark Desire (1),Director_181,"Actor_420, Actor_115, Actor_454",United Kingdom,2018-09-02,2018,TV-MA,82 min,Sci-Fi,Japanese,6.3,0.55
s160,TV Show,Who Killed Sara (1),Director_91,"Actor_163, Actor_449, Actor_372, Actor_259, Actor_114",Spain,2021-01-09,2021,R,3 Seasons,Drama,Spanish,8.8,3.24
s161,TV Show,Control Z (1),Director_80,"Actor_358, Actor_200, Actor_423",Brazil,2021-01-21,2021,TV-MA,1 Season,Documentary,Japanese,6.2,0.49
s162,TV Show,Club de Cuervos (1),Director_164,"Actor_271, Actor_457, Actor_443",United States,2022-12-21,2022,TV-MA,4 Seasons,Drama,English,6.0,0.14
s163,TV Show,Selena: The Series (1),Director_198,"Actor_292, Actor_37",India,2018-01-05,2018,R,5 Seasons,Reality,Japanese,6.0,0.52
s164,Movie,The House of Flowers (1),Director_159,"Actor_239, Actor_493, Actor_398, Actor_499",United Kingdom,2017-02-21,2017,TV-MA,105 min,Drama,Japanese,7.2,1.45
s165,TV Show,Monarca (1),Director_217,"Actor_231, Actor_118, Actor_437, Actor_417",United Kingdom,2020-08-21,2020,PG,4 Seasons,Sci-Fi,English,6.3,2.88
s166,TV Show,Holy Family (1),Director_93,"Actor_32, Actor_313, Actor_89",Norway,2020-06-13,2020,TV-MA,6 Seasons,Comedy,English,5.8,2.61
